1@Will Finn
1286@Ash Avildsen
1287@Matthew Kennedy
1288@Elias
1289@Sonny Mallhi
1290@Annette Haywood-Carter
1291@Don Scardino
1292@Gerard Kikoine
1293@William Girdler
1294@J Blakeson
1295@Chris Wedge
1296@Stuart Hazeldine
1297@Robert Schwentke
1298@Robert Stevenson
1299@Clare Lewins
1300@John Slattery
1301@Jonathan Glazer
1302@Jon Kasdan
1303@Dan Gilroy
1304@Dallas Richard Hallam
1305@Juan Piquer Simon
1306@Cynthia Mort
1307@Patricia Rozema
1308@Andrew Haigh
1309@John Quested
1310@Tom Stoppard
1311@James Morrison
1312@Rodney Ascher
1313@Guillermo del Toro
1314@Harald Zwart
1315@Bill Paxton
1316@Todd Douglas Miller
1317@Robert Lieberman
1318@Roberto Faenza
1319@John Lyde
1320@Wim Wenders
1321@Paul Thomas Anderson
1322@Nancy Meyers
1323@David Beier
1324@Bret Wood
1325@Jonah Loop
1326@Aisling Walsh
1327@Julie Taymor
1328@Scott Silver
1329@David Twohy
1330@Luis Llosa
1331@Castille Landon
1332@Todd Strauss-Schulson
1333@Alexandre Bustillo
1334@Takuji Endo
1335@Paul Morrell
1336@Taran Killam
1337@Crispian Mills
1338@J.K. Amalou
1339@Jason Cohen
1340@Declan Dale
1341@Sara St. Onge
1342@John McTiernan
1343@Jared Moshe
1344@Wayne Blair
1345@Alex Gibney
1346@Riyad Barmania
1347@Rob McKittrick
1348@Declan O'Brien
1349@Benedek Fliegauf
1350@Jeff Baena
1351@Scott Mactavish
1352@Steven Gomez
1353@Roger Goldby
1354@James Tucker
1355@Byron Haskin
1356@Julius Onah
1357@Peter Landesman
1358@Terence Fisher
1359@Ralph Nelson
1360@Jake Schreier
1361@Shekhar Kapur
1362@Scott Schirmer
1363@Clare Beavan
1364@Peter Graham Scott
1365@Darren Paul Fisher
1366@Fabien Garcia
1367@Takeshi Nozue
1368@Shalini Kantayya
1369@Brian Smrz
1370@Kent Alterman
1371@Kathryn Bigelow
1372@Duane Graves
1373@Ruba Nadda
1374@Damien Chazelle
1375@Jose Manuel Cravioto
1376@Micheal Bafaro
1377@Jessie Nelson
1378@Steve Balderson
1379@Joseph Ruben
1380@Julian Gilbey
1381@Alejandro Agresti
1382@Patrick Lussier
1383@Rob Marshall
1384@Ramona S. Diaz
1385@Peter Sohn
1386@Tony Gilroy
1387@Jim Drake
1388@Johannes Roberts
1389@Ken Annakin
1390@Freddie Francis
1391@Robert Dyke
1392@Anton Corbijn
1393@Zack Snyder
1394@Gabe Ibanez
1395@Jon Kondelik
1396@Frank Capra
1397@Richard Gabai
1398@Adam Schindler
1399@Stephen McKendree
1400@Richard Moore
1401@Erich von Stroheim
1402@Jeff Roenning
1403@Maya Forbes
1404@Rich Moore
1405@Tibor Takacs
1406@Peter Hedges
1407@Leone Marucci
1408@Jerry Schatzberg
1409@Richard Rush
1410@Ryan Phillippe
1411@Dan Kwan
1412@John M. Stahl
1413@Amy Berg
1414@Patrick Durham
1415@Sebastian Cordero
1416@Noah Baumbach
1417@Joe Hollow
1418@Rod Lurie
1419@Ron Maxwell
1420@Sylvain White
1421@Stanley J. Orzel
1422@Trevor Wall
1423@Robert Iscove
1424@Sang-ho Yeon
1425@Walter Murch
1426@Thomas Michael Donnelly
1427@Thomas Carter
1428@Joseph Merhi
1429@Mitesh Kumar Patel
1430@Scott Stewart
1431@Matt Shakman
1432@James Mather
1433@Thom Eberhardt
1434@Arthur Penn
1435@Darren Stein
1436@Agustin
1437@Tobi Baumann
1438@Tamara Jenkins
1439@Michael J. Bassett
1440@Adam Lipsius
1441@Terence Davies
1442@Yoon-suk Choi
1443@Benjamin Dickinson
1444@Jun Gu
1445@Brad Helmink
1446@Gabriela Cowperthwaite
1447@Randa Haines
1448@Neal Israel
1449@Guillermo Amoedo
1450@G.J. Echternkamp
1451@Debra Granik
1452@Guy Pigden
1453@Rod Daniel
1454@Dave Green
1455@Katie Aselton
1456@Antoni Stutz
1457@Martin Koolhoven
1458@Gavin Wiesen
1459@J.F. Lawton
1460@Emilio Aragon
1461@Ari Folman
1462@David Schwimmer
1463@Paris Barclay
1464@Yuefeng Song
1465@Phil Traill
1466@Joon-ho Bong
1467@Mauro Borrelli
1468@Marcus Nispel
1469@Jose Prendes
1470@Jeremy Kenyon Lockyer Corbell
1471@Peter Bonerz
1472@Milos Forman
1473@Tony Richardson
1474@John Hillcoat
1475@Tom McGrath
1476@Lewis Jackson
1477@Marc Forster
1478@Ken Wiederhorn
1479@Bob Fosse
1480@Joe Wright
1481@Isaac Gabaeff
1482@Sergio Leone
1483@Ben Falcone
1484@Chan-wook Park
1485@Stephen Hopkins
1486@Chris Miller
1487@Zoe Lister-Jones
1488@Ash Brannon
1489@Stefen Fangmeier
1490@Francis Lee
1491@Ryan Smith
1492@Robert Rodriguez
1493@Patrick McManus
1494@Paul Tanter
1495@Boaz Yakin
1496@Dorian Walker
1497@James Nunn
1498@Thomas J. Churchill
1499@Tyler MacIntyre
1500@Daniel Ferguson
1501@Alain Desrochers
1502@Bob Logan
1503@Mary Lambert
1504@Timur Bekmambetov
1505@Bruce W. Timm
1506@Jessica Sonneborn
1507@Anthony Silverston
1508@Stuart Acher
1509@Jean-Loup Felicioli
1510@Mike Hodges
1511@Jeff King
1512@Peter Segal
1513@Tim McCanlies
1514@Mark Neveldine
1515@Lulu Wang
1516@Hugh Hudson
1517@Melvin Frank
1518@Gary Nelson
1519@Robert Culp
1520@Edwin L. Marshall
1521@J.B. Rogers
1522@Koldo Serra
1523@Geoff Murphy
1524@Darren Aronofsky
1525@Alan Johnson
1526@Mario Caiano
1527@Rory Rooney
1528@Tony Randel
1529@Greg MacGillivray
1530@Jorge R. Gutierrez
1531@Claudio Fah
1532@Ric Roman Waugh
1533@Robert Martin Carroll
1534@Cameron Cairnes
1535@Fabien Dufils
1536@Richard Ciupka
1537@Demetrius Navarro
1538@Chris R. Notarile
1539@Dorota Kobiela
1540@Spike Lee
1541@Matthew A. Brown
1542@Christophe Gans
1543@Anna Rose Holmer
1544@Penny Marshall
1545@John Sayles
1546@David Mackenzie
1547@Sean McNamara
1548@Tony Scott
1549@Brandon Nutt
1550@Alex Ranarivelo
1551@Brian A Miller
1552@Anthony Mir
1553@Adam Massey
1554@Brad McGann
1555@Mick Jackson
1556@Grant Harvey
1557@Ben C. Lucas
1558@Shannon Hartman
1559@David Burris
1560@Craig McMahon
1561@John Maloof
1562@Chad Burns
1563@Sam Peckinpah
1564@Vincenzo Natali
1565@Scott Cooper
1566@Daniel Barber
1567@Denzel Washington
1568@Rob Sitch
1569@R.G. Springsteen
1570@Bryan Poyser
1571@Matt Johnson
1572@Drake Doremus
1573@Ron Dalrymple
1574@Philip Kaufman
1575@Kohl Glass
1576@H.C. Potter
1577@Jonathan Liebesman
1578@Adrian Tanner
1579@Robert Hiltzik
1580@Steve Bendelack
1581@Takashi Shimizu
1582@Dan Scanlon
1583@Brian DeCubellis
1584@Andrzej Sekula
1585@Don Coscarelli
1586@Jon Alpert
1587@Kevin Bray
1588@Jon Watts
1589@John Gulager
1590@Keith Allan
1591@J.D. Dillard
1592@Irving Pichel
1593@David F. Sandberg
1594@James DeMonaco
1595@Errol Morris
1596@Christian Carion
1597@Peter A. Dowling
1598@Jeremy Power Regimbal
1599@Chris Sanders
1600@Jean-Baptiste Leonetti
1601@Chris Noonan
1602@Jeff Nichols
1603@Robert Fuest
1604@Tom Gormican
1605@Jane Howell
1606@Henry Alex Rubin
1607@Steven R. Monroe
1608@Jay Baruchel
1609@Richard Boddington
1610@Luke Greenfield
1611@Steve Kloves
1612@Jonathan Mostow
1613@Richard Schenkman
1614@Philip Martin
1615@Adamo P. Cultraro
1616@Karen Moncrieff
1617@Aaron Woodley
1618@Lina Esco
1619@Donald Cammell
1620@Donald G. Jackson
1621@Madellaine Paxson
1622@Kevan Otto
1623@Juan Carlos Medina
1624@Michael Tiddes
1625@Jamie Blanks
1626@Andy Milligan
1627@Dan Fraga
1628@Joaquin F. Palma
1629@Lee Daniels
1630@Chris Gorak
1631@John Curran
1632@Liam O'Donnell
1633@Don E. FauntLeRoy
1634@Franz Josef Gottlieb
1635@Brian Horiuchi
1636@Betty Thomas
1637@Florian Gallenberger
1638@Danny Cannon
1639@Basil Dearden
1640@Paul Dalio
1641@Jay Roach
1642@Blake Kueny
1643@J.A. Bayona
1644@Benedict Mart
1645@Bart Layton
1646@Angus Sampson
1647@Sam Fell
1648@George Sidney
1649@Alexander Witt
1650@Wolfgang Reitherman
1651@Michael Winner
1652@Elizabeth Wood
1653@Victor Fleming
1654@Barry Levinson
1655@Tobe Hooper
1656@Andrew Tan
1657@Tim Story
1658@Mitchell Altieri
1659@Andrew Currie
1660@Mike Leigh
1661@Jonathan Milott
1662@Clive Barker
1663@Maris Curran
1664@Chuck Russell
1665@Jim Mickle
1666@Patrick Rea
1667@Chad Archibald
1668@Takashi Miike
1669@George Tillman Jr.
1670@Peter Faiman
1671@Michael Brandt
1672@Matt Hish
1673@Trey Nelson
1674@Gil Kenan
1675@Malik Bader
1676@Mark L. Lester
1677@Daniel Stamm
1678@David Hunt
1679@Lee Kirk
1680@Armando Iannucci
1681@Andy Hamilton
1682@Ronald Neame
1683@Rachid Bouchareb
1684@Dana Mennie
1685@Billy O'Brien
1686@Susan Jacobson
1687@David Fincher
1688@Scott Walker
1689@Manuel Carballo
1690@Ryan Combs
1691@Christopher Spencer
1692@Fabrizio Conte
1693@Simon Wells
1694@Richard Turke
1695@Jeff Wadlow
1696@Umberto Lenzi
1697@Anders Jacobsson
1698@Henry Joost
1699@Mark LaFleur
1700@Eduardo Rodriguez
1701@Patrik Syversen
1702@John Hamburg
1703@Mitch Davis
1704@Pete Travis
1705@Michael Schultz
1706@Gregori Viens
1707@Doug Ellin
1708@Chad Stahelski
1709@Steven Spielberg
1710@Ivan Kavanagh
1711@Jeremy Saulnier
1712@Chris Evans
1713@Mark Nuttall
1714@Mark Mori
1715@Ben Jones
1716@Jim O'Rear
1717@James Marsh
1718@Kevin Costner
1719@Rob Reiner
1720@Gary Breslin
1721@Siu-Tung Ching
1722@Mark Sloper
1723@Timo Vuorensola
1724@William Shatner
1725@John Carl Buechler
1726@Scott Wiper
1727@Paul Sapiano
1728@Sean Jackson
1729@David Lickley
1730@Joseph Baker
1731@David Presley
1732@Jerry Paris
1733@Janos Edelenyi
1734@Marjane Satrapi
1735@Roy Ward Baker
1736@Miles Doleac
1737@Marc Munden
1738@Curtis Crawford
1739@James Frawley
1740@James Wiseman
1741@Lenny Abrahamson
1742@Rob Thomas
1743@Leigh Janiak
1744@Lance W. Dreesen
1745@Brian Brightly
1746@Michael Berry
1747@Steve Taylor
1748@John Huston
1749@Rory Kelly
1750@Jeffrey Blitz
1751@Wayne Wang
1752@Garth Davis
1753@Sydney Pollack
1754@Larry Cohen
1755@Jean Negulesco
1756@Arnold Laven
1757@Mohammed Rustam
1758@Charles Herman-Wurmfeld
1759@Kari Juusonen
1760@John Baumgartner
1761@Arthur Hiller
1762@Akiva Goldsman
1763@Darren Ward
1764@Olaf Ittenbach
1765@Dome Karukoski
1766@Nick Murphy
1767@Aaron Katz
1768@Brandon Cronenberg
1769@Kasra Farahani
1770@Joe Nussbaum
1771@Martin McDonagh
1772@James Mangold
1773@Christian Larson
1774@Rob Letterman
1775@Charles Crichton
1776@John Glen
1777@Rick Rosenthal
1778@Kevin Connor
1779@Justin Trefgarne
1780@Emilio Estevez
1781@Makoto Shinkai
1782@Stewart Sugg
1783@Jerome Salle
1784@Jack Sholder
1785@Shawn Crahan
1786@Karl Mueller
1787@Chris Renaud
1788@Nick Cassavetes
1789@Angela Garcia Combs
1790@Eli Morgan Gesner
1791@William Asher
1792@Kenneth Powell
1793@Russell Crowe
1794@James L. Conway
1795@Terry Miles
1796@Vince Offer
1797@Bryan Forbes
1798@Tommy Lee Wallace
1799@Nelson Shin
1800@Ed Harris
1801@Paul Lynch
1802@Steven Soderbergh
1803@Alessandro Capone
1804@Karyn Kusama
1805@John Luessenhop
1806@Ubaldo Ragona
1807@Phil Joanou
1808@Joseph H. Lewis
1809@Maggie Carey
1810@Donovan Cook
1811@Sean Baker
1812@Mike Mitchell
1813@D.A. Pennebaker
1814@Adam Shankman
1815@Ezna Sands
1816@J.T. Boone
1817@Ben Jehoshua
1818@Lloyd Bacon
1819@Rowan Joffe
1820@Josh C. Waller
1821@Kelly Asbury
1822@Sharon Maguire
1823@Burr Steers
1824@Peter MacDonald
1825@William A. Wellman
1826@Neil Burger
1827@Kevin Goetz
1828@Hugo Stuven
1829@Mike McCoy
1830@Franklin Adreon
1831@Menahem Golan
1832@Gerard Johnstone
1833@Najaa Young
1834@Jacques Audiard
1835@Gavin O'Connor
1836@Russell Mulcahy
1837@Turner Clay
1838@Robert Chuter
1839@Kari Skogland
1840@Todd Phillips
1841@Andrew Dosunmu
1842@James Roday
1843@Francis Ford Coppola
1844@Oxide Pang Chun
1845@William Wyler
1846@Julian Farino
1847@Robert B. Weide
1848@Ernest Thompson
1849@Steven Knight
1850@Tony Leondis
1851@Adam Bailey
1852@Jackie Kong
1853@Jake Hoffman
1854@Charles Norton
1855@Julio DePietro
1856@Michael Goldbach
1857@John Herzfeld
1858@W.D. Hogan
1859@Howie Askins
1860@Ari Sandel
1861@Michael Spierig
1862@Sidney J. Furie
1863@Josh Trank
1864@Gilbert Adler
1865@Audrey Cummings
1866@Ronnie Khalil
1867@Mark Ezra
1868@Nikolaj Arcel
1869@John Bailey
1870@Bill Melendez
1871@Alice Lowe
1872@Titus Paar
1873@Michael Thelin
1874@Daniel Ragussis
1875@Camille Delamarre
1876@Ritesh Batra
1877@Vincent Ward
1878@Simon Helberg
1879@Megan Griffiths
1880@Alan Taylor
1881@Craig Clyde
1882@Whit Stillman
1883@Richard Tanne
1884@Bert I. Gordon
1885@Justin Edgar
1886@Courtney Solomon
1887@Aaron Harvey
1888@Jim Gillespie
1889@Brian O'Malley
1890@Christopher Jacobs
1891@Barry Cook
1892@Duane Adler
1893@Mark Hartley
1894@Gia Coppola
1895@Walter Boholst
1896@Thomas Verrette
1897@John Farrow
1898@Cary Joji Fukunaga
1899@William Friedkin
1900@Steve Miner
1901@Brian Fee
1902@Morgan Mead
1903@Mark Romanek
1904@Jason Pagnoni
1905@Angus MacLachlan
1906@Ted Demme
1907@Frank Marshall
1908@Dante Tomaselli
1909@Douglas Tirola
1910@Kate Mulleavy
1911@Edward Ludwig
1912@David Zucker
1913@Sean Ellis
1914@Alan Rafkin
1915@Robbie Pickering
1916@Christopher Speeth
1917@Alexandre Aja
1918@Charles Minsky
1919@Massimo Dallamano
1920@Jason Bloom
1921@Maria Giese
1922@Eric Leighton
1923@Michael Crichton
1924@David Schmoeller
1925@David Ryan Keith
1926@Adrian Lyne
1927@Paul Weitz
1928@Allan Moyle
1929@Tom Poole
1930@Mervyn LeRoy
1931@Paul Greengrass
1932@Paul Michael Glaser
1933@Anthony Wonke
1934@Jamie Bradshaw
1935@Daryl Goodrich
1936@Frank Hall Green
1937@Bobby Smyth
1938@Christian Ditter
1939@Lindsay Shonteff
1940@Matt Ross
1941@Sean-Michael Argo
1942@Craig Leeson
1943@Michael Rossato-Bennett
1944@Joe Smalley
1945@Ralph Bakshi
1946@Rene Perez
1947@Taika Waititi
1948@Jean-Marie Poire
1949@Garret Daly
1950@Dan Bishop
1951@Jill Soloway
1952@Enrique Gato
1953@Jason Friedberg
1954@Ben Ramsey
1955@Karen Leigh Hopkins
1956@Budd Boetticher
1957@Michael Laughlin
1958@Paul McGuigan
1959@Renny Harlin
1960@Steve McQueen
1961@Steven Ford
1962@Gregory Dark
1963@Mark Schwab
1964@Kasper Barfoed
1965@Kevin P. Farley
1966@Mark Palansky
1967@Tom Green
1968@Sam Wanamaker
1969@Diego Luna
1970@Michael Cohn
1971@Andrew Thomas Hunt
1972@Craig Zisk
1973@Daniel Lindsay
1974@John Stephenson
1975@Tanya Wexler
1976@Dante Ariola
1977@James Gartner
1978@Marielle Heller
1979@Ben Blaine
1980@Dennis Dugan
1981@Daniel Patrick Carbone
1982@K. King
1983@Juho Kuosmanen
1984@Edward Neumeier
1985@Deborah Kampmeier
1986@Sam Raimi
1987@Sam Pillsbury
1988@Julian Roffman
1989@Michael Gleissner
1990@Elliot Hegarty
1991@Chris Eigeman
1992@John Milius
1993@Graham Cantwell
1994@Stefano Milla
1995@Hart Bochner
1996@Tyler Perry
1997@Robert Kouba
1998@James Shanks
1999@Patrick Tatopoulos
2000@Richard Pepin
2001@John Lafia
2002@Peter Middleton
2003@Dan Bush
2004@Kelly Reichardt
2005@Daniel Alfredson
2006@Abel Ferrara
2007@Joseph Zito
2008@Jacob Cooney
2009@Dinesh D'Souza
2010@David A.R. White
2011@Joseph L. Mankiewicz
2012@Matt Cimber
2013@Elaine Constantine
2014@Luke Sparke
2015@Eduardo Sanchez
2016@Howard Storm
2017@Paul Harrison
2018@Erik White
2019@Carlo Ledesma
2020@Bruce A. Evans
2021@Carl Gottlieb
2022@Matt Thompson
2023@Arthur Marks
2024@Trevor Ryan
2025@Brett Leonard
2026@Viktor Lakisov
2027@James Gunn
2028@Jon M. Chu
2029@Joseph Green
2030@David Hare
2031@Karl DiPelino
2032@Adam Rifkin
2033@Jim McBride
2034@Donald Petrie
2035@Jonathan Winfrey
2036@Adam Deyoe
2037@Raul Garcia
2038@David O. Russell
2039@Frederick De Cordova
2040@Steven Lisberger
2041@James C. Strouse
2042@Israel Luna
2043@Zalman King
2044@Donna Robinson
2045@Carl Tibbetts
2046@Adam Smith
2047@Rungano Nyoni
2048@Steve Pink
2049@Len Wiseman
2050@Gareth Tunley
2051@Jason Winer
2052@John Krasinski
2053@Mark Christopher
2054@Mike Norris
2055@Hark Tsui
2056@Adam McKay
2057@Todd Lincoln
2058@Stefan Ruzowitzky
2059@Marcel Langenegger
2060@Hope Dickson Leach
2061@John Cameron Mitchell
2062@Jon Hewitt
2063@Jay Oliva
2064@Kieran Mulroney
2065@Graham Stark
2066@Michael O'Shea
2067@Jay Lee
2068@Noel Clarke
2069@Michael Powell
2070@George Sluizer
2071@Brian Klugman
2072@Eric Bress
2073@David Dobkin
2074@Michael Dowse
2075@Robert Legato
2076@John Francis Daley
2077@Brandon Christensen
2078@Gore Verbinski
2079@Scott Kalvert
2080@Ben Safdie
2081@Peter Sollett
2082@Sam Esmail
2083@Gareth Evans
2084@Robert Resnikoff
2085@Stanley Kramer
2086@Matthew Holmes
2087@Matthias Olof Eich
2088@Danny Boyle
2089@Hiroshi Hamazaki
2090@Gez Medinger
2091@Jamil Dehlavi
2092@Johnny Depp
2093@Tony Kaye
2094@Daniel Benmayor
2095@John Terlesky
2096@Todd Burrows
2097@John Polson
2098@Jacob Tierney
2099@Kristian Levring
2100@Cyrus Nowrasteh
2101@Henry Levin
2102@Liam Gavin
2103@Gabriel Clarke
2104@Shahin Sean Solimon
2105@Jada Pinkett Smith
2106@Quentin Tarantino
2107@Pearry Reginald Teo
2108@Perry Henzell
2109@Bruce D. Clark
2110@Kevin Macdonald
2111@John Lasseter
2112@Vincente Minnelli
2113@John Llewellyn Moxey
2114@Dan Rickard
2115@Marshall Brickman
2116@Nick Morris
2117@Eli Roth
2118@Matthias Hoene
2119@Nicholas Hytner
2120@Scott Mann
2121@Louis Malle
2122@Mark Pavia
2123@Werner Herzog
2124@Harold Cronk
2125@Ken Scott
2126@Gary J. Tunnicliffe
2127@Phil Karlson
2128@David Swift
2129@David Keith
2130@Guy Ferland
2131@Gary Sinise
2132@Mario Andreacchio
2133@Robert Mearns
2134@Damian Harris
2135@Ron de Moraes
2136@John Lee Hancock
2137@Kogonada
2138@Mark Gill
2139@Chris Butler
2140@Max Ophuls
2141@Reginald Le Borg
2142@Tom Six
2143@Daniel Mendelle
2144@Dario Argento
2145@David Butler
2146@Jim Kouf
2147@Raymond Mizzi
2148@Bette Gordon
2149@Youssef Delara
2150@Paul King
2151@Bank Tangjaitrong
2152@Frank Miller
2153@Matt Drummond
2154@Gerardo Olivares
2155@Ethan Wiley
2156@Phil Dorling
2157@Oliver Stone
2158@Hayao Miyazaki
2159@Yoshiaki Kawajiri
2160@Rouben Mamoulian
2161@Pier Paolo Pasolini
2162@Bruce Koehler
2163@David Campbell
2164@Colin Minihan
2165@Richard Curtis
2166@Marco van Belle
2167@Asghar Farhadi
2168@Hubert Cornfield
2169@Bill Duke
2170@Roger Donaldson
2171@Scott Teems
2172@Maximilian Elfeldt
2173@Alan Crosland
2174@Stephen Chow
2175@Daniel Powell
2176@Jonathan Jakubowicz
2177@S. Craig Zahler
2178@Brian Dannelly
2179@Sergio Martino
2180@James Crow
2181@John Krokidas
2182@Nicholas Stoller
2183@Nick Willing
2184@Troy Duffy
2185@Jason Lei Howden
2186@Juraj Jakubisko
2187@Maggie Greenwald
2188@Stephen S. Campanelli
2189@Jackie Chan
2190@Matthew Cooke
2191@David Moreton
2192@Martin Meszaros
2193@Scott Waugh
2194@Tim Hill
2195@Simon Fellows
2196@Alan Myerson
2197@Susanna White
2198@Joe Begos
2199@Paul Katis
2200@Sergio Sollima
2201@Matt Checkowski
2202@Jason William Lee
2203@Joe Lynch
2204@John Geddes
2205@John Landis
2206@Joel Hopkins
2207@Tamra Davis
2208@Ole Bornedal
2209@Sean Mullin
2210@Philip G. Atwell
2211@Scott Wheeler
2212@Christopher Morris
2213@Aldo Lado
2214@Stacy Title
2215@Mickey Keating
2216@Robert Adetuyi
2217@Blake Edwards
2218@Rob Bruce
2219@Rachel Tunnard
2220@Peng Zhang Li
2221@Don Taylor
2222@Anatole Litvak
2223@Sean Foley
2224@Tad Stones
2225@Chris Peckover
2226@Jonathan Baker
2227@Luca Miniero
2228@Ben Wheatley
2229@Roman Polanski
2230@Jean-Francois Richet
2231@Peter Dukes
2232@Tom Mankiewicz
2233@Rick Rowley
2234@Matthew Heineman
2235@Brian Levant
2236@Vernon Sewell
2237@Jennifer Flackett
2238@Lawrence Silverstein
2239@Jon East
2240@Johan Earl
2241@Ricardo de Montreuil
2242@Michael R. Roskam
2243@Mathew Miller
2244@Nick Jongerius
2245@Jeremy M. Inman
2246@Jesse Lawrence
2247@Jon Hurwitz
2248@Robert Parrish
2249@Benny Boom
2250@John Harrison
2251@Nick Simon
2252@Stephen Herek
2253@Orson Welles
2254@Damian Lee
2255@J. Lee Thompson
2256@Sam Weisman
2257@Christian Pasquariello
2258@Matt Schrader
2259@Dito Montiel
2260@Leslye Headland
2261@Hironobu Sakaguchi
2262@David R. Ellis
2263@Marcus Graves
2264@Anna Foerster
2265@Paco Arango
2266@Michelle Schumacher
2267@Thomas Della Bella
2268@John Crowley
2269@Dearbhla Walsh
2270@Harmony Korine
2271@Aaron Wilson
2272@David Lynch
2273@Emir Kusturica
2274@Rolf de Heer
2275@Douglas Sirk
2276@James Clavell
2277@Matthew Weiner
2278@Cedric Sundstrom
2279@Alan Parker
2280@John Ridley
2281@Russell Friedenberg
2282@Adam Egypt Mortimer
2283@Travis Knight
2284@Mark Tonderai
2285@Joseph Gordon-Levitt
2286@Florian Cossen
2287@Charlie Paul
2288@Joel Edgerton
2289@Angela Robinson
2290@Carl Rinsch
2291@Mark A. Catalena
2292@Steve Martino
2293@Nicholas Colla
2294@Colm McCarthy
2295@Peter Hammond
2296@Colin Kennedy
2297@Simone Gandolfo
2298@Gerald Rascionato
2299@Jason Krawczyk
2300@Vlad Yudin
2301@James Goldstone
2302@Frank Coraci
2303@Jesse V. Johnson
2304@Alfredo Zacarias
2305@Trevor Matthews
2306@Joan Micklin Silver
2307@Frank Darabont
2308@Andrew Dominik
2309@Troy Nixey
2310@Ian Edelman
2311@Richard T. Heffron
2312@Herve Martin-Delpierre
2313@Benedict Andrews
2314@Nicholas McCarthy
2315@Brian Clemens
2316@Christopher Meloni
2317@Sarah Gavron
2318@Niki Caro
2319@Jasmin Dizdar
2320@Jeffery Scott Lando
2321@Jason Zada
2322@Chris Eska
2323@Stan Dragoti
2324@David Flores
2325@Peter Greenaway
2326@Trish Sie
2327@John Goldschmidt
2328@Charles Stone III
2329@F. Javier Gutierrez
2330@George Stevens
2331@Julius Avery
2332@Cameron Crowe
2333@Jennifer Yuh
2334@Adrian Wood
2335@Phillip Noyce
2336@Mike Young
2337@Jordan Rubin
2338@Alfred Hitchcock
2339@Patrice Leconte
2340@Carl Reiner
2341@Deb Hagan
2342@Scott McGehee
2343@John Woo
2344@Rob Meltzer
2345@Lauro Chartrand
2346@Griffin Dunne
2347@Matt Osterman
2348@Stan Winston
2349@Richard Attenborough
2350@Marcel Walz
2351@Richard Kelly
2352@Garrett Brawith
2353@Baz Luhrmann
2354@Clint Eastwood
2355@Shawn Levy
2356@Robert Redford
2357@Wally Pfister
2358@Yann Demange
2359@Marc Lawrence
2360@Owen Tooth
2361@Richard Brooks
2362@David Moreau
2363@John L'Ecuyer
2364@Mark Waring
2365@Hendel Butoy
2366@Otto Bell
2367@Nick Powell
2368@John Erick Dowdle
2369@Aleksey Tsitsilin
2370@Christian Vuissa
2371@Martin Campbell
2372@Elia Petridis
2373@Nick Robertson
2374@David M. Rosenthal
2375@Toby Wilkins
2376@Gregor Jordan
2377@Monte Hellman
2378@Dexter Fletcher
2379@Tadayoshi Yamamuro
2380@Danny Roew
2381@Robby Henson
2382@Chuck Barris
2383@William Peter Blatty
2384@Sean Branney
2385@Dan Mirvish
2386@Les Mayfield
2387@Rob Bowman
2388@Ronnie Thompson
2389@Michael Apted
2390@Nicholas Mastandrea
2391@Matt Reeves
2392@David Doucette
2393@Alex Garland
2394@Michael Lehmann
2395@Lone Scherfig
2396@Peter Geiger
2397@Evan Tramel
2398@Matthew Akers
2399@Renzo Martinelli
2400@Stephen J. Anderson
2401@Michele Soavi
2402@Andrew Fleming
2403@Donovan Marsh
2404@Jordi Llompart
2405@Richie Keen
2406@Sean McGinly
2407@Jody Lee Lipes
2408@David Storey
2409@Brian Yuzna
2410@William Wesley
2411@Ana Lily Amirpour
2412@William Malone
2413@Graeme Campbell
2414@John Huddles
2415@Cody Calahan
2416@Mark Waters
2417@Asger Leth
2418@Colin Theys
2419@Alan Poul
2420@Lawrence Kasdan
2421@Anthony Stacchi
2422@Sebastian Silva
2423@Steve Buscemi
2424@Eric Colley
2425@David Gelb
2426@Alex Smith
2427@Greg Berlanti
2428@Anthony C. Ferrante
2429@Jonas Quastel
2430@Robert Benton
2431@Robert Towne
2432@Dror Soref
2433@Mark Brownlow
2434@Peter Lepeniotis
2435@Steve Carr
2436@Ivan Reitman
2437@Anurag Basu
2438@Hugo Fregonese
2439@Carl Medland
2440@Hossein Amini
2441@Gary Andrews
2442@Caroline Thompson
2443@Stephen Kay
2444@Scott Roberts
2445@Scott Hicks
2446@Gerald Thomas
2447@Franck Khalfoun
2448@Onur Tukel
2449@Elissa Down
2450@Elliot Silverstein
2451@Jorge Dorado
2452@Erik Van Looy
2453@Randall Wallace
2454@Thomas Zellen
2455@Larysa Kondracki
2456@Antonio Tarruella
2457@Griff Furst
2458@Anna Boden
2459@Val Guest
2460@Franklin J. Schaffner
2461@Jaime Velez Soto
2462@Lee Unkrich
2463@T.C. Christensen
2464@Chris Crow
2465@Justin Jones
2466@Michael Grandage
2467@Alan Metter
2468@Tom Gries
2469@Fred Walton
2470@James Chankin
2471@Philippe Mora
2472@Brian Helgeland
2473@Meera Menon
2474@Robert M. Young
2475@Terry Jones
2476@Josh Forbes
2477@Nick Moore
2478@Cate Shortland
2479@Gillian Armstrong
2480@Todor Chapkanov
2481@Steve Wolsh
2482@Roberts Gannaway
2483@Afonso Poyart
2484@George Isaac
2485@Shane Carruth
2486@Thunder Levin
2487@Robert Mulligan
2488@James L. Brooks
2489@Brian Baugh
2490@Joshua Z Weinstein
2491@Jeff Tremaine
